"","document","topic","gamma"
"306","70",2,5.56138986353233e-06
"307","71",2,7.39504309065421e-06
"308","72",2,6.52393336924387e-06
"309","73",2,1.29003661258106e-05
"310","74",2,0.0292928818047
"311","75",2,1.44145687069049e-05
"312","76",2,1.4911753270816e-05
"313","77",2,1.00083953528159e-05
"314","78",2,1.24200892531031e-05
"315","79",2,7.50242156504217e-06
"316","80",2,8.91724161411148e-06
"317","81",2,1.17910059467734e-05
"318","82",2,1.01595921078135e-05
"319","83",2,1.3745810328564e-05
"320","84",2,8.87800185996136e-06
"321","85",2,8.86129034337934e-06
"322","86",2,9.18199991422406e-06
"323","87",2,7.338682867373e-06
"324","88",2,1.33980631982503e-05
"325","89",2,8.26492015727031e-06
"326","90",2,1.12255506386419e-05
"327","91",2,7.62118085515296e-06
"328","92",2,6.57149235526097e-06
"329","93",2,6.62181907199385e-06
"330","94",2,8.6197132319026e-06
"331","95",2,1.0507294318241e-05
"332","96",2,9.77517231333196e-06
"333","97",2,4.45920936136163e-06
"334","98",2,5.82518918212045e-06
"335","99",2,1.68578576714506e-05
"336","100",2,6.69083715719674e-06
"337","101",2,6.91582169297269e-06
"338","102",2,7.68616252892832e-06
"339","103",2,5.60109173490526e-06
"340","104",2,6.69824173812876e-06
"341","105",2,7.04695448295003e-06
"342","106",2,5.48649145541337e-06
"343","107",2,5.93618785356048e-06
"344","108",2,5.64061347891834e-06
"345","109",2,7.29320498491068e-06
"346","110",2,4.24391494240248e-06
"347","111",2,3.80827987494807e-06
"348","112",2,4.52348193579783e-06
"349","113",2,4.51962158913211e-06
"350","114",2,9.15027120258353e-06
"351","115",2,5.81719112301926e-06
"352","116",2,5.02512208306117e-06
"353","117",2,3.55042144783752e-06
"354","118",2,3.75129520878605e-06
"355","119",2,3.23093574200309e-06
"356","120",2,4.52444805029265e-06
"357","121",2,6.32996751965702e-06
"358","122",2,3.20599823869609e-06
"359","123",2,3.69309125638807e-06
"360","124",2,3.42638177748621e-06
"361","125",2,2.64593101551596e-05
"362","126",2,0.0428841719772739
"363","127",2,1.162599514834e-05
"364","128",2,4.24421769263653e-05
"365","129",2,2.46003647601022e-05
"366","130",2,1.72560876150219e-05
"367","131",2,1.82837435712558e-05
"368","132",2,3.29391200139689e-05
"369","133",2,1.54163619960126e-05
"370","134",2,1.44934647196236e-05
"371","135",2,1.28145263704745e-05
"372","136",2,1.25562803281533e-05
"373","137",2,8.1661537868115e-06
"374","138",2,8.57609344771525e-06
"375","139",2,9.83873215361798e-06
"376","140",2,1.04425504457038e-05
"377","141",2,7.82962324740677e-06
"378","142",2,1.85154610767522e-05
"379","143",2,1.44637777118531e-05
"380","144",2,2.01536434394088e-05
"381","145",2,3.81263633644185e-05
"382","146",2,2.4041980740775e-05
"383","147",2,0.106600297554824
"384","148",2,3.09650659072721e-05
"385","149",2,1.84509544208109e-05
"386","150",2,0.0885498749503805
"387","151",2,0.160744730363385
"388","152",2,0.153624861275493
"389","153",2,0.230993575725928
"390","154",2,0.213530323934477
"391","155",2,0.112753928007814
"392","156",2,0.108414518310532
"393","157",2,0.0253091606209592
"394","158",2,2.92875274763174e-06
"395","159",2,1.36483931049556e-05
"396","160",2,1.62376213099699e-05
"397","161",2,2.43319335756062e-05
"398","162",2,0.0537815975741971
"399","163",2,0.199475440694481
"400","164",2,0.267979874509857
"401","165",2,1.15941801886851e-05
"402","166",2,0.135125373602144
"403","167",2,1.30917038684883e-05
"404","168",2,1.04890852514381e-05
"405","169",2,0.115202151264869
"406","170",2,9.47777906479478e-06
"407","171",2,1.95311741562234e-05
"408","172",2,0.0392917834147347
"409","173",2,1.61386587276558e-05
"410","174",2,1.4192453566089e-05
"411","175",2,0.0789120367641993
"412","176",2,1.21042870677368e-05
"413","177",2,0.114938222201713
"414","178",2,0.204911410253225
"415","179",2,0.417808202057209
"416","180",2,0.526772250809915
"417","181",2,0.524519481964854
"418","182",2,0.539254469862721
"419","183",2,0.550438598632699
"420","184",2,0.526885566881988
"421","185",2,0.578134519317018
"422","186",2,0.713873749032656
"423","187",2,0.49037386786886
"424","188",2,0.0947947208880214
"425","189",2,0.505166202116854
"426","190",2,3.49824064709759e-06
"427","191",2,0.147450961981637
"428","192",2,0.551754297513119
"429","193",2,0.211387228386984
"430","194",2,0.449107676360073
"431","195",2,6.11702667003274e-06
"432","196",2,0.339147429504695
"433","197",2,3.53324856302887e-06
"434","198",2,0.259594107941775
"435","199",2,2.27696581911817e-06
"436","200",2,0.46390566658758
"437","201",2,2.23764196763185e-06
"438","202",2,0.656354619241704
"439","203",2,0.637189074664382
"440","204",2,0.854217477019914
"441","205",2,0.864067164652847
"442","206",2,0.999885938926552
"443","207",2,0.938664019781341
"444","208",2,0.928751090898161
